"screen_name"	"text"	"favorite_count"	"retweet_followers_count"	"retweet_count"	"created_at"	"termo"	"url"
"jotajcmmorais"	"@jdoriajr Eiii  ... só p não cair no esquecimento @marciofrancasp colocando o sr em seu devido lugar... @jdoriajr e aguarde que sua resposta virá nas urnas! #BolsonaroPresidenteAte2026 https://t.co/NgsOHqTWs6"	0	28100	21	2020-02-27 04:37:43	"@marciofrancasp"	"https://twitter.com/jotajcmmorais/status/1232887510109507587"
"zfabrogmailcom"	"@jdoriajr Eiii  ... só p não cair no esquecimento @marciofrancasp colocando o sr em seu devido lugar... @jdoriajr e aguarde que sua resposta virá nas urnas! #BolsonaroPresidenteAte2026 https://t.co/NgsOHqTWs6"	0	28100	21	2020-02-27 04:36:05	"@marciofrancasp"	"https://twitter.com/zfabrogmailcom/status/1232887099596165120"
"WFKLS"	"@jdoriajr Eiii  ... só p não cair no esquecimento @marciofrancasp colocando o sr em seu devido lugar... @jdoriajr e aguarde que sua resposta virá nas urnas! #BolsonaroPresidenteAte2026 https://t.co/NgsOHqTWs6"	0	28100	21	2020-02-27 04:29:47	"@marciofrancasp"	"https://twitter.com/WFKLS/status/1232885514967101440"
"Amanda00948418"	"@Pattyy_Ribeiro @jdoriajr @marciofrancasp Eita! Do jatinho com o dinheiro do BNDES eu sabia, mas q ele jurava pela honra do pai dele...
#Dia15PorBolsonaro"	3	NA	0	2020-02-27 04:14:51	"@marciofrancasp"	"https://twitter.com/Amanda00948418/status/1232881755549577217"
"Amanda00948418"	"@jdoriajr Eiii  ... só p não cair no esquecimento @marciofrancasp colocando o sr em seu devido lugar... @jdoriajr e aguarde que sua resposta virá nas urnas! #BolsonaroPresidenteAte2026 https://t.co/NgsOHqTWs6"	0	28100	21	2020-02-27 04:13:15	"@marciofrancasp"	"https://twitter.com/Amanda00948418/status/1232881355526221824"
"Marcos603341961"	"@luizrogerio73 @f_guerreiro @marciofrancasp Eu fui com ele.,.fiquei chateado de nao ter ganho,  mas doria nao ganha nunca mais nada,  graças a deus"	2	NA	0	2020-02-27 00:10:32	"@marciofrancasp"	"https://twitter.com/Marcos603341961/status/1232820273554083841"
"Marcos603341961"	"@f_guerreiro @luizrogerio73 Paulistano gosta de sofre , Doria  ja tinha mostrado quem era na prefeitura , saudades do @marciofrancasp kkkk"	2	NA	0	2020-02-26 20:39:50	"@marciofrancasp"	"https://twitter.com/Marcos603341961/status/1232767247581696003"
"mariacallissi"	"@jdoriajr Eiii  ... só p não cair no esquecimento @marciofrancasp colocando o sr em seu devido lugar... @jdoriajr e aguarde que sua resposta virá nas urnas! #BolsonaroPresidenteAte2026 https://t.co/NgsOHqTWs6"	0	28100	21	2020-02-27 00:01:10	"@marciofrancasp"	"https://twitter.com/mariacallissi/status/1232817917030305792"
"powpaulo"	"@jdoriajr Solidarizo-me com @geraldoalckmin e @jairbolsonaro, existem oportunistas em todas às áreas. Ter caráter não é para todos. Gostaria de poder ter meu voto de volta, talvez o @marciofrancasp não tivesse me decepcionado tanto. #EuApoioBolsonaro"	0	1909	1	2020-02-26 23:59:41	"@marciofrancasp"	"https://twitter.com/powpaulo/status/1232817544853147648"
"AndreaSant11"	"@jdoriajr Solidarizo-me com @geraldoalckmin e @jairbolsonaro, existem oportunistas em todas às áreas. Ter caráter não é para todos. Gostaria de poder ter meu voto de volta, talvez o @marciofrancasp não tivesse me decepcionado tanto. #EuApoioBolsonaro"	2	NA	1	2020-02-26 23:58:38	"@marciofrancasp"	"https://twitter.com/AndreaSant11/status/1232817278405795841"
"cacoitanhaem"	"@jdoriajr Seu lixo... sem @jairbolsonaro vce não seria eleito... @marciofrancasp o melhor !!"	0	NA	0	2020-02-26 23:54:34	"@marciofrancasp"	"https://twitter.com/cacoitanhaem/status/1232816254945316864"
"leorodr10108615"	"@jdoriajr Esse ai usou o nome do capitão para se eleger pq se não o @marciofrancasp tinha engolido ele. Agora defender a vera lixo magalhães é ate normal comprou toda a imprensa de SP com $$ publico claro pra falarem bem dele e meter o pau no capitão o tempo todo. #DoriaVigarista"	9	NA	0	2020-02-26 23:32:04	"@marciofrancasp"	"https://twitter.com/leorodr10108615/status/1232810591133294593"
"leorodr10108615"	"@RenovaMidia Dória é um vigarista da pior especie do estilo Gilmar laxante Mendes . Estar é com medo da popularidade que o capitão tem coisa que ele nunca vai ter . É só um oportunista vigarista que usou o nome do capitão para se eleger porque se não teria sido engolido pelo @marciofrancasp"	22	NA	2	2020-02-24 03:00:24	"@marciofrancasp"	"https://twitter.com/leorodr10108615/status/1231775856202305536"
"RobsonKaue1"	"@jdoriajr Como dizia o @marciofrancasp você é um lobo em pele de cordeiro ..."	0	NA	0	2020-02-26 23:29:09	"@marciofrancasp"	"https://twitter.com/RobsonKaue1/status/1232809857281032192"
"Krispassos3"	"@jdoriajr João Doria vc QUASE perdeu pro @marciofrancasp . Só nao perdeu pq se travestiu de BOLSODORIA e enganou os Paulistas, mais ou menos como o ANDRADE fez, se travestindo de Lula. Percebe? Vc NÃO tem representatividade. Ngm quer fechar o Congresso, nao tente ENGANAR o povo + 1 vez🐀 https://t.co/fKuGQzyD0I"	1	NA	1	2020-02-26 22:29:27	"@marciofrancasp"	"https://twitter.com/Krispassos3/status/1232794836048150528"
"Krispassos3"	"@jdoriajr João Doria vc QUASE perdeu pro @marciofrancasp . Só nao perdeu pq se travestiu de BOLSODORIA e enganou os Paulistas, mais ou menos como o ANDRADE fez, se travestindo de Lula. Percebe? Vc NÃO tem representatividade. Ngm quer fechar o Congresso, nao tente ENGANAR o povo + 1 vez🐀 https://t.co/fKuGQzyD0I"	0	475	1	2020-02-26 22:32:02	"@marciofrancasp"	"https://twitter.com/Krispassos3/status/1232795486240886785"
"luizrogerio73"	"@Marcos603341961 @f_guerreiro @marciofrancasp Kkkkk, olha , hj eu votaria no MF  sem dúvida"	2	NA	0	2020-02-26 22:13:18	"@marciofrancasp"	"https://twitter.com/luizrogerio73/status/1232790770643501057"
"luizrogerio73"	"@f_guerreiro @Marcos603341961 @marciofrancasp Esses caras tem q ser humilhados na próxima eleição . Ter menos voto que o PSOL"	1	NA	0	2020-02-26 22:14:43	"@marciofrancasp"	"https://twitter.com/luizrogerio73/status/1232791127058722821"
"Janaina18219860"	"@Pattyy_Ribeiro @jdoriajr @marciofrancasp @jdoriajr"	0	NA	0	2020-02-26 21:50:12	"@marciofrancasp"	"https://twitter.com/Janaina18219860/status/1232784957283733504"
"Janaina18219860"	"@jdoriajr Eiii  ... só p não cair no esquecimento @marciofrancasp colocando o sr em seu devido lugar... @jdoriajr e aguarde que sua resposta virá nas urnas! #BolsonaroPresidenteAte2026 https://t.co/NgsOHqTWs6"	0	28100	21	2020-02-26 21:49:37	"@marciofrancasp"	"https://twitter.com/Janaina18219860/status/1232784811514880002"
"Jazz__Philip"	"@jdoriajr Doria vc nao ganha mais em SP, anote ai.

Ta pensando q a gente é besta ?

Vc nao Governa, esta em campanha desde q venceu as eleicoes.

Devia ter votado no @marciofrancasp 

#EuApoioBolsonaro"	0	NA	0	2020-02-26 19:51:34	"@marciofrancasp"	"https://twitter.com/Jazz__Philip/status/1232755103897194498"
